Scientist,University,Degree,isPostGrad
334d0f92-2578-42d7-803d-f1b5de40ff6e,International Institute of Information Technology – Bangalore,master of technology - mtech  research and development management,TRUE
ca9ce5d0-ffb4-4833-b491-12a0dd64fdf7,RMIT University,doctor of philosophy (ph.d.) applied mathematics,TRUE
dd41ab9c-ed8a-49d6-ba05-feec0c0d1a3a,Julius-Maximilians-Universität Würzburg,master's degree germanistik als fremdsprachenphilologie,TRUE
02abf092-420d-4a38-bb06-c19f9b3b16f7,University of Waterloo,master of science data science (graduate diploma in data analytics) 95% grades,TRUE
bcf31fd7-3ea5-4dcb-9730-be5521d76076,"University of California, Los Angeles",master's degree business analytics 4.0,TRUE
ed0a5c87-24c8-40b6-b255-8e86ca4adaee,University of Michigan,master’s degree electrical engineering: systems,TRUE
c19763d9-9f60-4f0a-9110-b7663ede2344,University of the Witwatersrand,master's degree mathematical statistics,TRUE
e2b96e26-d4ea-4305-822c-d5ce52e57a1b,"Birla Institute of Technology and Science, Pilani",master of technology - mtech data science and engineering,TRUE
29943c64-0a16-42fe-9f68-81fcb2ee37a0,RMIT University,doctor of philosophy (phd) computer science,TRUE
29943c64-0a16-42fe-9f68-81fcb2ee37a0,Iran University of Science and Technology,"master's degree electrical, electronic and communications engineering technology/technician",TRUE
0b8bc58b-5967-4c62-be4b-1244e4f059c7,Georgia Institute of Technology,master of science in analytics data science gpa 3.92/4.0,TRUE
882986f0-2b02-4339-84b6-ec2b5340f02b,Columbia University in the City of New York,master of science (m.s.) data science,TRUE
7326e575-9ed8-4341-8cfb-f78b3be4cecc,University of Washington,ms computer science and engineering,TRUE
d8d016fc-bbc8-48f1-8f62-be3af85f4103,Virginia Polytechnic Institute and State University,master's degree computer science,TRUE
b12e14ec-ff9c-4cfb-a015-0dfa31881029,University of Southern California,master's degree computer science,TRUE
5de2b9cd-3c38-442e-9349-279fab629ce1,Technion - Israel Institute of Technology,doctor of philosophy - phd computer science,TRUE
5de2b9cd-3c38-442e-9349-279fab629ce1,Technion-Machon Technologi Le' Israel,master of science (msc) computer science,TRUE
c4f4aad6-f186-4339-a73d-a62ff40f9a17,Göteborgs universitet,"master's degree economics, specialization industrial economics",TRUE
d93534c5-64cb-490f-bd28-65a4364be321,University of Auckland,master of professional studies data science completed with first class honours,TRUE
2a44b563-4ff8-42a9-a79d-b4f8705d4a5d,The University of Chicago,doctor of philosophy - phd chemistry 3.5/4.0,TRUE
5cbdfadc-08a8-4339-b808-79d9e1039c3d,University of Rochester,master of science - ms data science 3.5/4.0,TRUE
ad86bbee-4a98-42f9-a484-77148e503fca,Northwestern University,master of science in analytics analytics,TRUE
42420196-8a16-49e1-b6b8-310be98f32a4,Swinburne University of Technology,master's degree applied statistics distinction,TRUE
42420196-8a16-49e1-b6b8-310be98f32a4,Monash University,master of business systems (research) business systems,TRUE
da4eb330-7bb4-4ea1-bb84-9e6fb2284997,Baruch College,master's degree financial engineering,TRUE
da4eb330-7bb4-4ea1-bb84-9e6fb2284997,Harvard University,master of science health data science 3.8,TRUE
3410bf90-9354-4022-8de2-a185c684103b,Devi Ahilya Vishwavidyalaya,master of science (m.sc.) statistics b+,TRUE
7d1c5640-8b57-416e-bfc9-85c3ab67a5da,University of North Carolina at Charlotte,doctor of philosophy - phd electrical engineering,TRUE
c8b4be54-2576-4c3c-858b-1ece95655776,The University of Texas at Dallas,master of science (ms) information technology and management 3.7,TRUE
408a1650-44f9-4300-aff8-6c17d2dd435e,The University of Texas Health Science Center at Houston (UTHealth),master of science (m.s.) biostatistics,TRUE
408a1650-44f9-4300-aff8-6c17d2dd435e,The University of Texas Health Science Center at Houston (UTHealth),master of science (m.s.) health informatics 4.0,TRUE
408a1650-44f9-4300-aff8-6c17d2dd435e,The University of Texas Health Science Center at Houston (UTHealth) School of Public Health,master of public health (m.p.h.) epidemiology 3.87,TRUE
d0169484-2962-4e4d-b9c4-8fa04dd77096,Stony Brook University,doctor of philosophy (phd) biomedical engineering,TRUE
d0169484-2962-4e4d-b9c4-8fa04dd77096,Stony Brook University,master of arts (m.a.) mathematics,TRUE
3404dd8e-81e9-4cc7-a1a7-93e37e05451f,University of Washington,"master of science - ms information management, data science",TRUE
1cbbe6c9-955f-4cf6-b353-e56e34dc3c4c,Harvard University,master’s degree computational science,TRUE
4626a4aa-1e30-44f1-b56f-0abadb96306f,Chinese Academy of Meteorological Sciences,master of science (msc) meteorology,TRUE
d02709f4-eae2-489b-9ab3-e69cb464a00b,University of Pennsylvania,"master of science - ms computer and information sciences, general",TRUE
